Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Pseudomonas	taeanensis	MS-3	Pseudomonas taeanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Wandonia	haliotis	Haldis-1	Wandonia haliotis	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Wandonia	Wandonia haliotis	Haldis-1	Wandonia haliotis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Novosphingobium	soli	Novosphingobium soli	Novosphingobium soli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Novosphingobium	soli	CC-TPE-1T	Novosphingobium soli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Laceyella	tengchongensis	YIM 10002	Laceyella tengchongensis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Halomonas	zhanjiangensis	JSM 078169T	Halomonas zhanjiangensis	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Haloarcula	tradensis	HST03	Haloarcula tradensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Alkanibacter	difficilis	MN154.3	Alkanibacter difficilis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Owenweeksia	hongkongensis	UST20020801T	Owenweeksia hongkongensis	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Haloarcula	salaria	HST01-2R	Haloarcula salaria	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Thermolongibacillus	Thermolongibacillus altinsuensis	E265	Thermolongibacillus altinsuensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Salinicoccus	qingdaonensis	ZXM223	Salinicoccus qingdaonensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Huaishuia	halophila	ZXM137	Huaishuia halophila	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Lentibacter	algarum	ZXM100	Lentibacter algarum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Anoxybacillus	tengchongensis	Anoxybacillus tengchongensis	Anoxybacillus tengchongensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Anoxybacillus	tengchongensis	T-11	Anoxybacillus tengchongensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Anoxybacillus	tengchongensis	T-11T	Anoxybacillus tengchongensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Deinococcus	xibeiensis	R13	Deinococcus xibeiensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingosinicella	Sphingosinicella vermicomposti	YC7378	Sphingosinicella vermicomposti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingosinicella	vermicomposti	YC7378	Sphingosinicella vermicomposti	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Prauserella	salsuginis	YIM 90625T	Prauserella salsuginis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Prauserella	aidingensis	YIM 90636T	Prauserella aidingensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Prauserella	marina	MS498	Prauserella marina	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Prauserella	Prauserella marina	MS498	Prauserella marina	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Dokdonella	immobilis	LM2-5	Dokdonella immobilis	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Halobacillus	salsuginis	JSM 078133T	Halobacillus salsuginis	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA
Niabella	yanshanensis	CCBAU 05354T	Niabella yanshanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Oceanibaculum 	Oceanibaculum pacificum	LMC2up-L3	Oceanibaculum pacificum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Pseudomonas	pachastrellae 	KMM330T	Pseudomonas pachastrellae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Oceanibaculum	pacificum	LMC2up-L3	Oceanibaculum pacificum	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Gangjinia	marincola	GJ16T	Gangjinia marincola	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Basfia	Basfia succiniproducens	JF4016	Basfia succiniproducens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Basfia	succiniciproducens	JF4016	Basfia succiniciproducens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Streptomyces	shaanxiensis	CCNWHQ 0031	Streptomyces shaanxiensis	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA
Gaetbulicola	byunsanensis	SMK-114	Gaetbulicola byunsanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Gaetbulicola 	Gaetbulicola byunsanensis	SMK-114	Gaetbulicola byunsanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Anoxybacillus	vitaminiphilus	3nP4	Anoxybacillus vitaminiphilus	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Lysinibacillus	Lysinibacillus xylanilyticus	XDB9	Lysinibacillus xylanilyticus	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardia	concava	IFM 0354T	Nocardia concava	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Lysinibacillus	xylanilyticus	XDB9	Lysinibacillus xylanilyticus	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Thiohalobacter 	Thiohalobacter thiocyanaticus	HRh1	Thiohalobacter thiocyanaticus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Thiohalobacter	thiocyanaticus	HRh1	Thiohalobacter thiocyanaticus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Intrasporangium	chromatireducens	Q5-1	Intrasporangium chromatireducens	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Desulfosoma	caldarium	USBA-053T	Desulfosoma caldarium	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Bacillus	chungangensis	CAU 348	Bacillus chungangensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus 	Bacillus chungangensis	CAU 348	Bacillus chungangensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Yuhushiella	deserti	RA45T	Yuhushiella deserti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Pleomorphomonas	koreensis	Y9	Pleomorphomonas koreensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Amnibacterium	kyonggiense	KSL51201-037T	Amnibacterium kyonggiense	yes	yes	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amnibacterium	kyonggiense	Amnibacterium kyonggiense	Amnibacterium kyonggiense	NA	yes	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amnibacterium	kyonggiense	KSL51201-037	Amnibacterium kyonggiense	yes	yes	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Yimella	Yimella lutea	YIM 45900	Yimella lutea	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Yimella	lutea	YIM 45900	Yimella lutea	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Phycicoccus	cremeus	Phycicoccus cremeus	Phycicoccus cremeus	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Phycicoccus	cremeus	V2M29	Phycicoccus cremeus	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Phycicoccus	cremeus	V2M29T	Phycicoccus cremeus	NA	yes	yes	yes	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Nautilia	nitratireducens	MB-1	Nautilia nitratireducens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Celeribacter	neptunius	H 14	Celeribacter neptunius	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Lentibacillus	juripiscarius	IS40-3T	Lentibacillus juripiscarius	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Granulosicoccus	coccoides	Z 271	Granulosicoccus coccoides	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Brevundimonas	naejangsanensis	BIO-TAS2-2T 	Brevundimonas naejangsanensis	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Brevundimonas	naejangsanensis	BIO-TAS2-2T	Brevundimonas naejangsanensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Listeria	rocourtiae	CIP 109804	Listeria rocourtiae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Gordonia	hankookensis	ON-33T	Gordonia hankookensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Francisella	guangzhouensis	08HL01032	Francisella guangzhouensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Roseivivax	isoporae	sw-2	Roseivivax isoporae	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paracoccus	isoporae	SW-3T	Paracoccus isoporae	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Chitinibacter	alvei	TNR-14	Chitinibacter alvei	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Arcicella	aurantiaca	TNR-18	Arcicella aurantiaca	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Agaricicola	taiwanensis	CC-SBABM117	Agaricicola taiwanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Winogradskyella	exilis	022-2-26	Winogradskyella exilis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Lutibacter	maritimus	S7-2	Lutibacter maritimus	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amycolatopsis	halophila	YIM 93223	Amycolatopsis halophila	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Agromyces	Agromyces atrinae	P27	Agromyces atrinae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Agromyces	atrinae	P27	Agromyces atrinae	yes	NA	NA	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Kocuria	Kocuria atrinae	P30	Kocuria atrinae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Kocuria	koreensis	P31	Kocuria koreensis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Kocuria 	Kocuria koreensis	P31	Kocuria koreensis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bifidobacterium 	stercoris	Eg1	Bifidobacterium stercoris	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orbus	hercynius	CN3	Orbus hercynius	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Streptomyces	osmaniensis	OU-63	Streptomyces osmaniensis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes
Rhodothermus	profundi	PRI 2902	Rhodothermus profundi	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Flavobacterium	sinopsychrotolerans	Flavobacterium sinopsychrotolerans	Flavobacterium sinopsychrotolerans	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Flavobacterium	sinopsychrotolerans	533	Flavobacterium sinopsychrotolerans	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Flavobacterium	sinopsychrotolerans	0533T	Flavobacterium sinopsychrotolerans	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Neisseria	wadsworthii	9715	Neisseria wadsworthii	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Nocardia	takedensis	MS1-3T	Nocardia takedensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Neisseria	wadsworthii	Neisseria wadsworthii	Neisseria wadsworthii	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Neisseria	wadsworthii	9715T	Neisseria wadsworthii	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Neisseria	shayeganii	871T	Neisseria shayeganii	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Neisseria	shayeganii	871	Neisseria shayeganii	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Nocardioides	Nocardioides panacisoli	Gsoil 346	Nocardioides panacisoli	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Nocardioides	panacisoli	Gsoil 346	Nocardioides panacisoli	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Jeongeupia 	Jeongeupia naejangsanensis	BIO-TAS4-2	Jeongeupia naejangsanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Jeongeupia	naejangsanensis	BIO-TAS4-2	Jeongeupia naejangsanensis	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Microbulbifer	agarilyticus	JAMB A3	Microbulbifer agarilyticus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Neptunomonas	antarctica	S3-22	Neptunomonas antarctica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Soonwooa	buanensis	HM0024	Soonwooa buanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Negativicoccus	succinicivorans	ADV 07/08/06-B-1388	Negativicoccus succinicivorans	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bizionia	echini	KMM 6177	Bizionia echini	yes	yes	yes	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Terrabacter	carboxydivorans	Terrabacter carboxydivorans	Terrabacter carboxydivorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terrabacter	carboxydivorans	PY2T	Terrabacter carboxydivorans	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Georgenia	halophila	YIM 93316	Georgenia halophila	NA	yes	yes	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Georgenia	Georgenia halophila	YIM 93316	Georgenia halophila	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Paenibacillus	tianmuensis	B27T	Paenibacillus tianmuensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Chromohalobacter	salarius	 CG4.1T	Chromohalobacter salarius	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA
Pleomorphomonas	oryzae	F-7T	Pleomorphomonas oryzae	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	yes	yes	NA	NA	yes
Virgibacillus	subtrerraneus	H57B72	Virgibacillus subtrerraneus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Streptohalobacillus	salinus	H96B60T	Streptohalobacillus salinus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Stenotrophomonas	pavanii	 ICB 89T	Stenotrophomonas pavanii	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Aquimarina	Agarlytica	ZC1	Aquimarina agarlytica	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardioides	caricicola	YC6903	Nocardioides caricicola	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nocardioides	caricicola	Nocardioides caricicola	Nocardioides caricicola	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nocardioides	caricicola	YC6903T	Nocardioides caricicola	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Pseudoalteromonas	donghaensis	Pseudoalteromonas donghaensis	Pseudoalteromonas donghaensis	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	yes
Parapedobacter	luteus	4M29	Parapedobacter luteus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Parapedobacter	composti	4M40	Parapedobacter composti	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methanolinea	tarda	NOBI-1	Methanolinea tarda	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA
Nocardia	niwae	Nocardia niwae	Nocardia niwae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nocardia	niwae	W9241	Nocardia niwae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Nocardia	niwae	W9241T	Nocardia niwae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Planococcus	Planococcus salinarum	ISL-16	Planococcus salinarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Serratia	glossinae	C1	Serratia glossinae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Ornithinibacter	aureus 	HB09001T	Ornithinibacter aureus	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA
Lachnoanaerobaculum	umeaense	CD3 : 22	Lachnoanaerobaculum umeaense	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gordonia	effusa	IFM 10200	Gordonia effusa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardia	callitridis	CAP 290	Nocardia callitridis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microlunatus	soli	 CC-12602	Microlunatus soli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microlunatus	Microlunatus soli	CC-12602	Microlunatus soli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	Microbacterium agarici	CC-SBCK-209	Microbacterium agarici	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	agarici	CC-SBCK-209	Microbacterium agarici	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Saccharomonospora	marina	XMU15	Saccharomonospora marina	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Sphingobacterium	shayense	HS39	Sphingobacterium shayense	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pseudonocardia	xishanensis	YIM 63638	Pseudonocardia xishanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Gordonia	araii	IFM 10211	Gordonia araii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	prosopidis	PW21	Paenibacillus prosopidis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Psychromonas 	Psychromonas boydii	174	Psychromonas boydii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Psychromonas	boydii	174	Psychromonas boydii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Mesorhizobium	silamurunense	CCBAU 01550	Mesorhizobium silamurunense	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA
Herbiconiux	moechotypicola	RB-62	Herbiconiux moechotypicola	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas	rubra	BH3T	Sphingomonas rubra	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardioides 	Nocardioides daedukensis	MDN22	Nocardioides daedukensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Nocardioides	daedukensis	MDN22	Nocardioides daedukensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Kordiimonas	lacus	S3-22T	Kordiimonas lacus	yes	yes	yes	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Kordiimonas	lacus	Kordiimonas lacus	Kordiimonas lacus	NA	yes	yes	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Rhodanobacter	denitrificans	2APBS1	Rhodanobacter denitrificans	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Nocardiopsis	Nocardiopsis fildesensis	 GW9-2	Nocardiopsis fildesensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Sphingobacterium	hotanense	XH4	Sphingobacterium hotanense	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Microbacterium 	Microbacterium pseudoresistens	CC-5209	Microbacterium pseudoresistens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	pseudoresistens	CC-5209	Microbacterium pseudoresistens	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	Microbacterium humi	CC-12309	Microbacterium humi	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	humi	CC-12309	Microbacterium humi	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingobacterium	cladoniae	No.6	Sphingobacterium cladoniae	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Yaniella	fodinae	G5T	Yaniella fodinae	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lysobacter	koreensis	Dae16	Lysobacter koreensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylophilus	flavus	Ship	Methylophilus flavus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methylophilus	luteus	Mim	Methylophilus luteus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Ruegeria	marina	Ruegeria marina	Ruegeria marina	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Roseivivax	lentus	S5-5	Roseivivax lentus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Planktotalea	frisia	SH6-1	Planktotalea frisia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pelagimonas	varians	SH4-1	Pelagimonas varians	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Olleya	aquimaris	L-4	Olleya aquimaris	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Colwellia	chukchiensis	BCw111T	Colwellia chukchiensis	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	yes
Pricia	antarctica	ZS1-8	Pricia antarctica	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pontibacter	niistensis	NII-0905	Pontibacter niistensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Phenylobacterium 	koreense	Slu-01T	Phenylobacterium koreense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Idiomarina	Aquimaris	SW15	Idiomarina aquimaris	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Tsukamurella	soli	JS18-1	Tsukamurella soli	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Tsukamurella	soli	 JS18-1	Tsukamurella soli	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Altererythrobacter	namhicola	KYW48T	Altererythrobacter namhicola	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Lentzea	jiangxiensis	FXJ1.034	Lentzea jiangxiensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Litoricola	marina	IMCC2782	Litoricola marina	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Anaerostipes	Anaerostipes butyraticus	35-7	Anaerostipes butyraticus	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Azonexus	caeni	Slu-05	Azonexus caeni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Anaerostipes	butyraticus	35-7	Anaerostipes butyraticus	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luteimonas	terricola	BZ92r	Luteimonas terricola	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Nesterenkonia	suensis	Sua-BAC020	Nesterenkonia suensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Naxibacter	suwonensis	5414S-25	Naxibacter suwonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
